algorithm,runtime,log.runtime
2,40842,10.61746624
1,112456,11.63031731
1,81997,11.31443794
1,95578,11.46769795
1,109002,11.59912151
1,137064,11.82820325
2,43746,10.68615546
2,40622,10.61206507
2,83162,11.32854579
1,79241,11.28024912
2,31630,10.36186132
2,36443,10.50350468
2,38973,10.57062438
2,28955,10.27349818
2,38138,10.54896644
2,36408,10.50254381
2,39198,10.576381
2,42359,10.65393619
2,36794,10.51309007
2,42293,10.65237687
2,37346,10.52798109
1,82971,11.32624643
1,84003,11.33860779
2,30247,10.31715228
1,68483,11.13434082
2,44072,10.69357994
1,75581,11.23296021
2,31064,10.34380487
2,44521,10.70371627
2,35654,10.48161662
2,37553,10.53350855
1,75808,11.23595911
2,39464,10.58314414
1,86622,11.3693091
2,37949,10.54399843
2,33203,10.41039551
1,75958,11.23793583
2,42002,10.64547252
1,94235,11.45354694
2,31492,10.35748882
1,157597,11.96779642
1,64318,11.07159481
2,40812,10.61673143
1,81229,11.30502761
1,86069,11.36290458
1,88904,11.39531241
2,32524,10.38973356
1,75367,11.23012479
2,39723,10.58968564
2,38669,10.56279352
2,40531,10.60982239
1,88288,11.38835948
1,98647,11.4993031
1,106043,11.57159995
2,39185,10.5760493
1,73084,11.19936474
1,85368,11.3547266
1,82741,11.32347053
1,87092,11.37472031
2,38625,10.56165501
1,125710,11.74173295
2,42769,10.66356882
1,74457,11.21797706
2,49030,10.80018763
1,196675,12.1893079
1,97001,11.48247657
1,72063,11.18529602
2,33763,10.42712081
2,32702,10.39519152
1,95365,11.46546691
2,40668,10.61319682
2,38865,10.56784938
2,39841,10.59265181
1,80370,11.29439625
1,81585,11.3094007
1,76674,11.24731795
1,79682,11.28579899
2,38590,10.56074845
1,85451,11.35569839
1,112103,11.62717337
1,86269,11.3652256
2,37844,10.54122773
1,88125,11.38651154
1,100588,11.51878825
1,84716,11.34705976
1,84247,11.34150824
1,107613,11.58629674
2,41146,10.624882
1,92956,11.43988154
2,36830,10.51406801
1,89630,11.40344536
2,40967,10.62052214
1,87969,11.38473976
1,90193,11.4097071
2,36088,10.49371568
1,74711,11.22138262
2,40224,10.60221911
1,82941,11.32588479
1,103328,11.54566367
2,42185,10.64981999
2,39098,10.57382659
2,36904,10.51607523
2,34189,10.43965923
2,40754,10.61530927
1,107209,11.58253548
1,94890,11.4604736
1,81966,11.31405981
1,92157,11.43124892
2,40736,10.6148675
1,92175,11.43144422
1,82916,11.32558333
2,36214,10.49720106
2,40418,10.60703051
2,32696,10.39500803
2,43275,10.67533038
1,88524,11.39102898
2,40155,10.60050224
1,70190,11.15896113
1,92742,11.43757672
2,41270,10.62789112
1,84885,11.34905268
2,43846,10.68843877
2,38209,10.55082637
1,79174,11.27940324
1,142717,11.86861893
1,127248,11.75389322
2,37943,10.54384031
2,52330,10.8653251
2,41611,10.63611983
2,34635,10.45262001
1,81541,11.30886124
1,81475,11.3080515
1,82842,11.32469046
1,79086,11.27829115
1,73640,11.20694364
2,33180,10.40970256
1,87024,11.37393922
1,97587,11.48849957
1,87074,11.37451361
2,38370,10.55503118
1,101557,11.5283755
2,41332,10.6293923
1,61897,11.03322699
2,42451,10.65610575
2,39880,10.59363022
1,169553,12.04092084
2,42616,10.65998505
2,36188,10.49648285
2,35573,10.4793422
2,32796,10.39806184
1,85975,11.36181184
2,41603,10.63592756
2,33032,10.40523207
1,102974,11.54223181
1,85084,11.35139428
1,80779,11.29947231
1,186812,12.13785804
1,75965,11.23802799
1,81500,11.3083583
2,40166,10.60077615
1,80059,11.29051914
2,34336,10.44394965
2,34372,10.44499756
2,41773,10.64000548
2,41714,10.63859208
1,124520,11.73222162
2,38153,10.54935967
1,98717,11.50001245
1,78733,11.27381766
1,99215,11.50504449
1,79925,11.28884397
2,36734,10.51145804
2,39596,10.58648338
1,92882,11.43908515
1,99501,11.50792297
1,119284,11.68926248
2,54152,10.89955019
2,44825,10.7105213
1,87430,11.37859375
1,78830,11.27504891
2,44824,10.71049899
1,77681,11.26036598
2,40243,10.60269135
2,77909,11.26329676
2,35787,10.48533998
1,69032,11.14232544
2,35475,10.4765835
2,40784,10.61604513
1,88900,11.39526742
2,36890,10.51569579
2,31757,10.36586845
1,72981,11.19795441
2,41593,10.63568716
2,36226,10.49753237
1,114304,11.64661684
1,84580,11.34545311
1,76954,11.25096312
2,40243,10.60269135
2,35905,10.48863184
1,83621,11.33404996
1,71539,11.17799803
2,33775,10.42747616
2,38549,10.55968544
2,36509,10.50531408
2,33571,10.42141788
2,34580,10.45103076
2,36203,10.49689727
2,36035,10.49224597
1,84252,11.34156759
1,101366,11.52649301
1,85656,11.35809455
